,SANTA MARIA BELTRADE,VIA OXILIA NINO   8,2,CENTRO SPORTIVO,,
,SAN GABRIELE IN MATER DEI,VIA TERMOPILI   5,2,CENTRO SPORTIVO,,
,SAN DOMENICO SAVIO,VIA ROVIGNO   19,2,CENTRO SPORTIVO,,
,SAN GIUSEPPE DEI MORENTI,VIA CELENTANO BERNARDO   14,2,CENTRO SPORTIVO,,
,ISTITUTO SAN GIUSEPPE,VIA DE LA SALLE SAN GIOVANNI BATTISTA   5,2,CENTRO SPORTIVO,,
,SAN LEONE MAGNO,VIA CARNIA   14,3,CENTRO SPORTIVO,,
,ORATORIO GIOVANNI XXIII,VIA PITTERI RICCARDO   54,3,CENTRO SPORTIVO,,
,A.S. ALEX CLUB A-B-C-,VIA MOTTARONE   2,8,FITNESS MACCHINE,,0233002432
02714013,NEW FITNESS CLUB,VIA NULLO FRANCESCO   14,3,GINNASTICA,,02714013
0286454496,HISO SRL CENTRO TERAPIA FISICA RIABILITATIVA,VIA OLMETTO   5,1,GINNASTICA,,0286454561
0226680685,CENTRO POLISPECIALISTICO PACINI SRL,VIA PACINI GIOVANNI   15,3,GINNASTICA,,022361230
,FISIC CENTER ASSOCIAZIONE SPORTIVA DILETTANTISTICA,VIA PANTIGLIATE   4,6,GINNASTICA,,024158582
0258103140,FIGURELLA MILANO SOLARI,VLE PAPINIANO   45,1,FITNESS MACCHINE,,0258103160
,ENZO MONTANARI SHOTOKAN KARATE STUDIO SAS,VIA PETRARCA FRANCESCO   8,1,FITNESS MACCHINE,,024982764
0226147471,AIKIDO DI FUJIMOTO YOJI,VIA PIRANDELLO LUIGI   4,7,GINNASTICA,,022896939
0248017658,ICOS ASSOCIAZIONE SPORTIVA DILETTANTISTICA,VIA PIRANDELLO LUIGI   4,7,GINNASTICA,,02462551 _ 02462851
,SPORTING LIFE STUDIO ALLEGRA SRL,VIA PRINA GIUSEPPE   15,8,GINNASTICA,,0233105530
0234535169,GREENLINE WELLNESS CENTER SRL,VIA PROCACCINI GIULIO CESARE   36,8,GINNASTICA,,0293501170
0258314402,FIGURELLA MILANO PORTA ROMANA,VIA QUADRONNO   34,1,GINNASTICA,, 0258314343
,ASSOCIAZIONE SPORTIVA DILETTANTISTICA FI.T.LU.,VLE RANZONI DANIELE   21,7,GINNASTICA,,0248700180
,U.S. TRIESTINA 1946,VIA FLEMING ALESSANDRO   13,7,CALCIO A 11,,0240090479
,U.S. QUINTO ROMANO,VIA DE SICA VITTORIO   14,7,CALCIO A 11,www.usquintoromano.it,0248202858
,PARROCCHIA  S.S. NABORE E FELICE,PLE PERRUCCHETTI GIUSEPPE   2,7,CALCIO A 7,,0248701531
,POLISPORTIVA AICS FIGINO,VIA MOLINETTO   64,7,CENTRO SPORTIVO,,
,U.S. GESCAL BOYS,VIA OLIVIERI ALESSIO   9,7,CALCIO A 5,,024564671
,S.S. ALCIONE CALCIO,VIA OLIVIERI ALESSIO   13,7,CENTRO SPORTIVO,www.ssalcione.com,024531615
,CIRCOLO  ARCI OLMI,VIA DEGLI ULIVI   2,7,CENTRO SPORTIVO,,0248911144
,POLISPORTIVA VALSESIA,VIA VALSESIA   20 8,7,CALCIO A 7,,
,SELLA NUOVA S.R.L.,VIA VITERBO   4,7,CENTRO SPORTIVO,,
0234531118,CENTRO SPORTIVO GIOVANNI DA PROCIDA,VIA GIOVANNI DA PROCIDA   20,8,CENTRO SPORTIVO,www.milanosport.it,0233104970
0270638558,GIANFRANCO CRESPI,VIA VALVASSORI PERONI CARLO   48,3,CENTRO SPORTIVO,www.milanosport.it,022361066
