5341,17,,1513696.87501,5030429.45099,RINGHIERA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,ASSOCIAZIONE TEATRALE INDIPENDENTE PER LA RICERCA,PRIVATA,CONVENZIONE,IN ESERCIZIO,VIA BOIFAVA PIETRO 17,5341 17,37,5,RINGHIERA, VIA BOIFAVA PIETRO 17, TEATRO
5162,9,,1513646.316,5033778.15,SALA ARIBERTO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,CURIA,PRIVATA,UNITRE MILANO,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA CRESPI DANIELE 9,5162 9,38,1,SALA ARIBERTO, VIA CRESPI DANIELE 9, TEATRO
1149,21,,1514686.73501,5037659.09951,SALA FONTANA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,ELSINOR FONTANA TEATRO SOC. COOP. A R.L.,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA BOLTRAFFIO GIAN ANTONIO 21,1149 21,39,9,SALA FONTANA, VIA BOLTRAFFIO GIAN ANTONIO 21, TEATRO
238,2A,,1515516.04019,5034877.4147,SAN BABILA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,CURIA - PARROCCHIA DI SAN BABILA,PRIVATA,TI.ES.BI. SRL,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,CSO VENEZIA 2A,238 2A,40,1,SAN BABILA, CSO VENEZIA 2A, TEATRO
3147,7,,1515727.75641,5034010.93,SOCIETA' UMANITARIA,CULTURA,TEATRI E AUDITORIUM,POLIFUNZIONALE,SERVIZI PRIVATI ESISTENTI,SOCIETA' UMANITARIA,PRIVATA,SOCIETA' UMANITARIA,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA DAVERIO FRANCESCO 7,3147 7,78,1,SOCIETA' UMANITARIA, VIA DAVERIO FRANCESCO 7, POLIFUNZIONALE
2583,2,,1517854.7776,5036455.56319,SPAZIO TEATRO NO'HMA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,ASSOCIAZIONE CULTURALE NO'HMA,PRIVATA,CONVENZIONE,IN ESERCIZIO,VIA ORCAGNA ANDREA 2,2583 2,41,3,SPAZIO TEATRO NO'HMA, VIA ORCAGNA ANDREA 2, TEATRO
7079,11,,1513518.707,5036476.32731,SPAZIO ZAZIE,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,ASSOCIAZIONE SPAZIO ZAZIE,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA LOMAZZO PAOLO 11,7079 11,42,8,SPAZIO ZAZIE, VIA LOMAZZO PAOLO 11, TEATRO
3184,11,,1516692.30781,5035210.76411,ELFO PUCCINI TEATRO D'ARTE CONTEMPORANEA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,TEATRIDITHALIA ELFO PORTA ROMANA ASSOCIATI,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA MENOTTI CIRO 11,3184 11,43,3,ELFO PUCCINI TEATRO D'ARTE CONTEMPORANEA, VIA MENOTTI CIRO 11, TEATRO
2428,1,,1517719.32899,5036288.222,TEATRO LEONARDO DA VINCI,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,CURIA - PARROCCHIA SAN PIO X,PRIVATA,QUELLI DI GROCK SCRL,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA AMPERE ANDREA MARIA 1,2428 1,44,3,TEATRO LEONARDO DA VINCI, VIA AMPERE ANDREA MARIA 1, TEATRO
113,2,,1514788.00041,5034898.8381,TEATRO ALLA SCALA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,FONDAZIONE TEATRO ALLA SCALA,PUBBLICA,FONDAZIONE PARTECIPATA,IN ESERCIZIO,VIA FILODRAMMATICI 2,113 2,45,1,TEATRO ALLA SCALA, VIA FILODRAMMATICI 2, TEATRO
